iter	RMSE
0	1019.736657
1	1003.068483
2	984.3409195
3	970.8424113
4	954.2351607
5	938.3142167
6	922.7603944
7	906.5598446
8	893.5591268
9	880.4688943
10	866.6301899
11	854.1158204
12	842.8086245
13	830.0869681
14	819.8793951
15	809.3326324
16	799.4978796
17	789.6919785
18	779.6414812
19	770.961281
20	760.941463
21	751.8337705
22	744.1482858
23	737.4996069
24	729.3496882
25	723.7419031
26	717.4767452
27	710.0634765
28	703.2388405
29	696.7249258
30	689.9067014
31	682.1266428
32	675.9584431
33	670.4860788
34	665.1621429
35	659.8433961
36	653.193897
37	648.8408354
38	641.8809082
39	635.8588786
40	630.4571931
41	626.3257052
42	619.4865787
43	614.8885611
44	609.1616885
45	604.0190055
46	599.5799822
47	595.999592
48	592.3594773
49	588.7833838
50	584.719073
51	580.8847196
52	577.7285696
53	574.1331813
54	570.8367691
55	567.4037704
56	563.6812947
57	558.5765656
58	554.5387461
59	550.6952426
60	548.6411089
61	545.541385
62	542.3474673
63	539.5845889
64	536.72579
65	533.2701028
66	530.6945553
67	527.6816243
68	524.2281848
69	521.0605412
70	518.7849507
71	515.719501
72	513.8042178
73	511.4556435
74	509.2036005
75	506.665184
76	504.5289591
77	502.1279385
78	499.2908579
79	496.1682046
80	493.4755773
81	490.9971917
82	489.3446473
83	486.9940465
84	484.6015263
85	482.2816192
86	480.6244682
87	478.2559233
88	475.9829789
89	473.9870026
90	471.5554859
91	470.3799538
92	468.4300974
93	466.6211517
94	464.2539572
95	462.6393427
96	460.2430711
97	458.1866982
98	455.6235325
99	455.1485216
100	452.9191019
101	451.3442143
102	449.3108631
103	448.4268535
104	446.918509
105	445.4403542
106	443.8045837
107	442.5096045
108	441.0889111
109	439.7425246
110	438.5294898
111	436.5508383
112	434.6983487
113	433.1296269
114	432.0756873
115	430.7054895
116	428.9415979
117	427.8452038
118	426.534546
119	425.5588593
120	424.7621903
121	423.377197
122	422.5889812
123	421.1077734
124	419.7069721
125	418.5518579
126	416.9897016
127	416.1877883
128	415.3293263
129	413.9669798
130	413.0042618
131	411.7498249
132	410.5528294
133	409.388348
134	408.514279
135	407.1631621
136	406.5205016
137	405.7488446
138	404.6668454
139	403.656467
140	402.8275059
141	401.2001962
142	400.4588137
143	399.5848945
144	398.5069701
145	397.5799533
146	396.1949496
147	395.1397765
148	393.858475
149	392.9941725
150	391.92581
151	390.673222
152	389.5932953
153	388.662343
154	387.5526769
155	386.3775255
156	385.7074403
157	385.019344
158	384.0626505
159	383.0935566
160	382.2085597
161	381.0795198
162	380.1844647
163	379.0566573
164	378.48007
165	377.2541257
166	376.6379897
167	375.2701334
168	374.2570711
169	373.3218037
170	372.8119196
171	371.9117384
172	370.7987303
173	369.9848447
174	369.2586214
175	368.486867
176	368.0001847
177	367.3185741
178	366.7682797
179	365.8646483
180	365.2346421
181	364.4838968
182	363.3395193
183	362.500941
184	361.4835571
185	360.7869854
186	360.2918997
187	359.5581624
188	358.9425268
189	358.2376403
190	357.7258055
191	356.6697007
192	356.3742298
193	355.5494193
194	354.761773
195	354.2002789
196	353.5135764
197	352.6952593
198	352.181091
199	351.3308495
200	350.4254092
201	349.4993588
202	348.8706739
203	348.3206389
204	347.8610101
205	347.3991688
206	346.5776644
207	345.9285557
208	344.8769819
209	344.3182857
210	343.3746623
211	342.3432027
212	341.6200234
213	341.0880482
214	340.6330109
215	339.9281848
216	339.3784499
217	338.6819773
218	337.766188
219	336.9111404
220	336.4924477
221	335.6035423
222	334.84416
223	334.2037896
224	333.7850178
225	333.1578253
226	332.7091121
227	332.074665
228	331.3216255
229	330.564689
230	330.0885713
231	329.2203126
232	328.6634611
233	327.7509179
234	326.6122142
235	325.7986987
236	325.0256026
237	324.3785239
238	323.6596528
239	323.1435435
240	322.6145616
241	321.8647668
242	321.4244645
243	320.9822243
244	320.308005
245	319.7462149
246	319.1398953
247	318.7683936
248	318.0981055
249	317.8113814
250	317.1966208
251	316.9241344
252	316.430278
253	315.8946907
254	315.2427372
255	314.4535522
256	313.704923
257	312.9937014
258	312.4634742
259	311.609708
260	311.1317585
261	310.7967693
262	310.1378175
263	309.3903337
264	308.801884
265	308.105223
266	307.9164786
267	307.0986596
268	306.2437982
269	305.5285573
270	304.8202083
271	304.2006232
272	303.8044073
273	303.1878476
274	302.6739123
275	301.9196239
276	301.1841
277	300.3804497
278	299.9089434
279	299.3095441
280	298.8856469
281	298.3622979
282	298.1313432
283	297.6265816
284	297.4473176
285	296.869975
286	296.543427
287	295.9539402
288	295.6971223
289	295.4311902
290	295.0965807
291	294.3903963
292	293.9210015
293	293.6559995
294	293.446787
295	293.1635671
296	292.7393991
297	292.4401982
298	291.7658885
299	291.1079094
300	290.4841408
301	289.6440237
302	289.0804651
303	288.8480698
304	288.4187274
305	287.9291887
306	287.3590013
307	286.7000547
308	286.3190174
309	285.5521377
310	284.7392278
311	284.2690177
312	283.9039614
313	283.4253794
314	282.6639084
315	282.1497028
316	281.5499401
317	281.3780228
318	280.5921242
319	280.0285695
320	279.6900797
321	279.2591662
322	278.54356
323	277.8662974
324	277.3458809
325	277.1883371
326	276.8387713
327	276.3073895
328	275.7056124
329	275.4648338
330	275.2066775
331	274.7168499
332	274.623798
333	274.0859893
334	273.6137663
335	273.0485094
336	272.7027182
337	272.2652687
338	272.0478057
339	271.5497107
340	271.1597638
341	270.8013978
342	270.0554449
343	269.3775468
344	268.835422
345	268.535324
346	268.0973631
347	267.6235496
348	267.0202182
349	266.4938549
350	266.1885594
351	265.7928388
352	265.389201
353	265.2597562
354	264.7482079
355	264.3051455
356	263.9641788
357	263.6161419
358	263.1214065
359	262.6469697
360	262.20019
361	261.7491111
362	261.4005449
363	260.9432163
364	260.456698
365	259.8975092
366	259.3716764
367	258.9668934
368	258.4847333
369	258.2287467
370	257.6591601
371	257.2579305
372	256.7678473
373	256.3946684
374	255.8841081
375	255.4110626
376	255.0290873
377	254.5330313
378	254.0290591
379	253.6529965
380	253.115381
381	252.6577065
382	252.295847
383	251.7714182
384	251.6331102
385	251.3089443
386	250.7363112
387	250.3448397
388	249.8725301
389	249.5282522
390	249.2581528
391	248.6539195
392	248.328099
393	247.9666521
394	247.5709987
395	247.0199484
396	246.764514
397	246.5987154
398	246.0193108
399	245.6437911
400	245.2954013
401	244.9939229
402	244.6600258
403	244.1784288
404	243.9217756
405	243.3550252
406	243.0209721
407	242.6049538
408	242.2667665
409	241.7090686
410	241.3786347
411	240.832787
412	240.6256878
413	240.1613548
414	239.6495526
415	239.1718406
416	238.8954522
417	238.4966112
418	238.2404373
419	238.0096395
420	237.880507
421	237.5698822
422	237.2586788
423	236.9974964
424	236.6897852
425	236.4996913
426	236.3763058
427	236.0529805
428	235.6804877
429	235.3514006
430	235.0102881
431	234.5893842
432	234.3601701
433	233.9185527
434	233.5895351
435	233.3474513
436	233.0405182
437	232.7897675
438	232.6675431
439	232.5275189
440	232.0192973
441	231.6970885
442	231.4866398
443	231.1678001
444	230.9841964
445	230.6918733
446	230.1232733
447	229.6935139
448	229.3214026
449	229.0301425
450	228.8022207
451	228.4503811
452	228.0649172
453	227.7299307
454	227.3429556
455	226.9774083
456	226.7047286
457	226.3694179
458	226.1364442
459	225.7995794
460	225.5266965
