iter	Passed	Remaining
0	2	2882
1	4	2230
2	6	2039
3	7	1889
4	9	1961
5	11	1869
6	12	1770
7	14	1770
8	16	1819
9	18	1867
10	20	1819
11	21	1800
12	25	1907
13	26	1888
14	28	1858
15	29	1800
16	31	1801
17	32	1786
18	34	1778
19	35	1756
20	37	1740
21	38	1728
22	40	1727
23	41	1704
24	43	1694
25	44	1661
26	45	1652
27	47	1641
28	48	1632
29	50	1630
30	52	1644
31	54	1641
32	55	1628
33	56	1615
34	58	1607
35	60	1612
36	61	1599
37	62	1586
38	63	1574
39	65	1567
40	66	1566
41	69	1580
42	70	1574
43	72	1565
44	73	1565
45	75	1562
46	76	1553
47	78	1555
48	79	1547
49	82	1575
50	84	1568
51	85	1561
52	86	1554
53	88	1548
54	89	1544
55	91	1536
56	92	1530
57	93	1524
58	95	1521
59	97	1524
60	98	1520
61	100	1515
62	101	1511
63	103	1511
64	105	1515
65	106	1510
66	108	1507
67	110	1517
68	112	1523
69	114	1519
70	115	1513
71	116	1507
72	119	1521
73	121	1516
74	122	1512
75	123	1507
76	126	1511
77	128	1516
78	129	1512
79	132	1521
80	134	1522
81	135	1518
82	136	1513
83	138	1508
84	140	1508
85	141	1503
86	142	1497
87	143	1492
88	145	1488
89	147	1488
90	148	1486
91	150	1480
92	151	1475
93	152	1469
94	154	1467
95	155	1464
96	156	1460
97	158	1456
98	159	1451
99	160	1441
100	163	1456
101	165	1453
102	166	1448
103	167	1444
104	169	1443
105	170	1439
106	172	1437
107	173	1434
108	175	1431
109	177	1439
110	179	1436
111	181	1435
112	183	1439
113	185	1439
114	186	1436
115	187	1432
116	189	1429
117	190	1427
118	192	1423
119	193	1415
120	194	1411
121	195	1406
122	203	1451
123	205	1450
124	206	1447
125	208	1446
126	209	1442
127	211	1438
128	212	1437
129	214	1433
130	215	1429
131	216	1426
132	218	1423
133	221	1434
134	223	1430
135	224	1427
136	226	1423
137	227	1421
138	228	1417
139	230	1415
140	231	1413
141	233	1411
142	236	1417
143	238	1418
144	241	1423
145	244	1428
146	245	1425
147	246	1421
148	248	1419
149	249	1416
150	251	1413
151	252	1409
152	253	1405
153	255	1403
154	257	1402
155	258	1399
156	259	1395
157	261	1390
158	262	1387
159	263	1384
160	264	1380
161	266	1377
162	280	1439
163	282	1438
164	283	1435
165	286	1441
166	289	1442
167	290	1439
168	292	1437
169	294	1437
170	296	1436
171	297	1432
172	299	1431
173	301	1432
174	303	1432
175	305	1430
176	308	1432
177	310	1433
178	312	1431
179	313	1428
180	316	1432
181	317	1428
182	319	1425
183	321	1425
184	324	1430
185	326	1428
186	327	1425
187	329	1422
188	331	1422
189	333	1423
190	335	1419
191	336	1416
192	339	1421
193	341	1420
194	343	1417
195	344	1414
196	346	1414
197	348	1411
198	349	1407
199	351	1404
200	353	1403
201	354	1401
202	356	1399
203	357	1396
204	359	1393
205	363	1399
206	364	1396
207	366	1395
208	370	1401
209	372	1399
210	373	1396
211	376	1400
212	378	1398
213	379	1395
214	381	1391
215	383	1391
216	385	1389
217	386	1387
218	388	1384
219	389	1381
220	391	1379
221	393	1379
222	395	1377
223	397	1375
224	399	1375
225	400	1372
226	402	1370
227	403	1367
228	407	1370
229	408	1367
230	410	1367
231	412	1365
232	414	1364
233	416	1362
234	417	1359
235	420	1360
236	422	1360
237	423	1357
238	425	1354
239	427	1353
240	429	1353
241	431	1351
242	432	1348
243	436	1351
244	439	1353
245	443	1357
246	444	1355
247	446	1354
248	448	1352
249	450	1352
250	452	1350
251	454	1347
252	455	1345
253	457	1343
254	459	1341
255	460	1338
256	462	1335
257	463	1333
258	467	1338
259	469	1337
260	473	1339
261	475	1338
262	476	1336
263	478	1333
264	480	1332
265	482	1330
266	483	1327
267	485	1326
268	487	1324
269	489	1322
270	490	1320
271	492	1317
272	493	1315
273	495	1313
274	496	1310
275	498	1306
276	499	1303
277	501	1301
278	503	1300
279	504	1297
280	506	1295
281	507	1292
282	509	1291
283	511	1289
284	512	1286
285	514	1283
286	515	1280
287	517	1280
288	519	1278
289	521	1275
290	522	1272
291	524	1270
292	525	1268
293	527	1265
294	528	1262
295	529	1260
296	532	1260
297	534	1258
298	535	1256
299	537	1253
300	538	1250
301	540	1249
302	542	1246
303	543	1244
304	545	1242
305	546	1240
306	549	1239
307	550	1236
308	551	1234
309	553	1231
310	555	1230
311	557	1228
312	558	1225
313	559	1223
314	563	1225
315	566	1225
316	567	1223
317	569	1221
318	571	1219
319	572	1217
320	574	1214
321	576	1214
322	578	1212
323	580	1210
324	581	1207
325	584	1207
326	585	1205
327	587	1202
328	588	1200
329	590	1198
330	592	1197
331	594	1195
332	595	1192
333	596	1189
334	598	1188
335	600	1187
336	602	1184
337	603	1182
338	606	1183
339	608	1181
340	610	1178
341	611	1175
342	614	1177
343	616	1174
344	617	1171
345	618	1169
346	620	1167
347	622	1166
348	624	1164
349	625	1161
350	627	1159
351	629	1158
352	630	1156
353	632	1153
354	633	1151
355	636	1151
356	638	1149
357	648	1162
358	649	1160
359	654	1163
360	655	1161
361	657	1158
362	660	1158
363	663	1158
364	664	1156
365	667	1156
366	669	1154
367	670	1152
368	672	1149
369	675	1149
370	676	1147
371	678	1145
372	680	1143
373	682	1142
374	684	1140
375	685	1137
376	686	1134
377	689	1133
378	691	1133
379	692	1130
380	694	1128
381	697	1128
382	699	1126
383	700	1124
384	702	1122
385	705	1122
386	707	1120
387	708	1118
388	710	1115
389	713	1115
390	715	1114
